协议,功能域,优先级,在协议表,请求参数,跟踪响应session,直接调用处,注册回调处,处理方式
cooking_task_update,料理,P2,False,,,,CookingModel.initModel,实现本地状态/规则及兼容响应
easteregg_load,彩蛋,P2,False,,,,EasterEggModel.initModel,实现本地状态/规则及兼容响应
encyclopedia_load,百科图鉴,P2,True,,True,,EncyModel.initModel,实现本地状态/规则及兼容响应
encyclopedia_set_show_sub,百科图鉴,P2,True,long_id,False,EncyModel.req_set_show_sub,,实现本地状态/规则及兼容响应
encytravel_load,旅行图鉴,P2,True,,True,,EncyTravelModel.initModel,实现本地状态/规则及兼容响应
encytravel_set_show_sub,旅行图鉴,P2,True,long_id,False,EncyTravelModel.req_set_show_sub,,实现本地状态/规则及兼容响应
furniture_buy_shop,家具/工作台/庭院设施,P1,True,shop_id,True,FurnitureModel.requestBuy,FurnitureModel.initModel,实现本地状态/规则及兼容响应
furniture_flowerpot_harvest,家具/工作台/庭院设施,P1,True,"type, index",True,FurnitureModel.req_flowerpot_harvest,,实现本地状态/规则及兼容响应
furniture_load_compost,家具/工作台/庭院设施,P1,True,,True,,FurnitureModel.initModel,实现本地状态/规则及兼容响应
furniture_load_flowerpot,家具/工作台/庭院设施,P1,False,,,,FurnitureModel.initModel,实现本地状态/规则及兼容响应
furniture_load_furniture,家具/工作台/庭院设施,P1,True,,True,o.checkCameraMoment,FurnitureModel.initModel,实现本地状态/规则及兼容响应
furniture_load_pocket,家具/工作台/庭院设施,P1,True,,True,,FurnitureModel.initModel,实现本地状态/规则及兼容响应
furniture_load_tumbler,家具/工作台/庭院设施,P1,True,,True,,FurnitureModel.initModel,实现本地状态/规则及兼容响应
furniture_pocket_get,家具/工作台/庭院设施,P1,True,,True,FurnitureModel.request_pocket_get,,实现本地状态/规则及兼容响应
furniture_putin_bench,家具/工作台/庭院设施,P1,True,"pos, id",True,FurnitureModel.setBenchTool; FurnitureModel.setBenchTool; FurnitureModel.setBenchItem; FurnitureModel.setBenchItem,FurnitureModel.initModel,实现本地状态/规则及兼容响应
furniture_putin_box,家具/工作台/庭院设施,P1,True,"pos, id",True,FurnitureModel.setCompostItem; FurnitureModel.setCompostItem,,实现本地状态/规则及兼容响应
furniture_replace_compost,家具/工作台/庭院设施,P1,True,index,True,FurnitureModel.replaceFurniture,,实现本地状态/规则及兼容响应
furniture_replace_fur,家具/工作台/庭院设施,P1,True,id,True,FurnitureModel.replaceFurniture,,实现本地状态/规则及兼容响应
furniture_replace_pocket,家具/工作台/庭院设施,P1,True,index,True,FurnitureModel.replaceFurniture,,实现本地状态/规则及兼容响应
furniture_replace_tumbler,家具/工作台/庭院设施,P1,True,index,True,FurnitureModel.replaceFurniture,,实现本地状态/规则及兼容响应
furniture_takeout_bench,家具/工作台/庭院设施,P1,True,pos,True,FurnitureModel.setBenchTool; FurnitureModel.setBenchTool; FurnitureModel.setBenchItem; FurnitureModel.setBenchItem,FurnitureModel.initModel,实现本地状态/规则及兼容响应
furniture_takeout_box,家具/工作台/庭院设施,P1,True,pos,True,FurnitureModel.setCompostItem; FurnitureModel.setCompostItem,,实现本地状态/规则及兼容响应
greetcard_buy,贺卡,P2,True,id,True,GreetCardModel.req_buy,,实现本地状态/规则及兼容响应
greetcard_change_bg,贺卡,P2,True,id,True,GreetCardModel.req_change_bg,,实现本地状态/规则及兼容响应
greetcard_change_bless,贺卡,P2,True,id,True,GreetCardModel.req_change_bless,,实现本地状态/规则及兼容响应
greetcard_feedback_gift,贺卡,P2,True,id,False,MailItemView.acceptTouchEvents,,实现本地状态/规则及兼容响应
greetcard_get_reward,贺卡,P2,True,id,True,GreetCardModel.req_get_reward,,实现本地状态/规则及兼容响应
greetcard_get_task_item,贺卡,P2,True,,True,GreetCardModel.req_get_task_item,GreetCardModel.initModel,实现本地状态/规则及兼容响应
greetcard_get_task_reward,贺卡,P2,True,,True,GreetCardModel.req_get_task_reward,,实现本地状态/规则及兼容响应
greetcard_load,贺卡,P2,True,,True,GreetCardModel.req_load,GreetCardModel.initModel,实现本地状态/规则及兼容响应
greetcard_load_count,贺卡,P2,True,,True,GreetCardModel.req_load_count,,实现本地状态/规则及兼容响应
greetcard_put_tags,贺卡,P2,True,"pos, id",True,GreetCardModel.req_put_tags,,实现本地状态/规则及兼容响应
greetcard_read_new,贺卡,P2,True,,False,GreetCardModel.req_read_new,,实现本地状态/规则及兼容响应
greetcard_send,贺卡,P2,True,,True,GreetCardModel.req_send,,实现本地状态/规则及兼容响应
greetcard_send_gift,贺卡,P2,True,"index, gift",False,GreetCardModel.req_send_gift,,实现本地状态/规则及兼容响应
greetcard_stock,贺卡,P2,True,,True,GreetCardModel.req_stock,,实现本地状态/规则及兼容响应
guest_accept_invit,来客/绘本邀请,P2,True,is_accept,True,DrawingModel.request_accept_invit; DrawingModel.request_reject_invit,DrawingModel.initModel,实现本地状态/规则及兼容响应
guest_confirm,来客/绘本邀请,P2,True,id,False,TravelModel.sendGuestConfirmed,,实现本地状态/规则及兼容响应
guest_finish,来客/绘本邀请,P2,True,,False,MainOutView.checkGameplay,,实现本地状态/规则及兼容响应
guest_load,来客/绘本邀请,P2,True,,True,,TravelModel.initModel,实现本地状态/规则及兼容响应
guest_load_drawing,来客/绘本邀请,P2,True,,True,,DrawingModel.initModel,实现本地状态/规则及兼容响应
guest_lock_bag,来客/绘本邀请,P2,True,,True,DrawingModel.lockBag; DrawingModel.unlockBag,,实现本地状态/规则及兼容响应
guest_putin_bag,来客/绘本邀请,P2,True,"pos, id",True,DrawingModel.changeItem,DrawingModel.initModel,实现本地状态/规则及兼容响应
guest_serve,来客/绘本邀请,P2,True,"id, item_id",False,TravelModel.sendGuestServed,,实现本地状态/规则及兼容响应
guest_set_expire_time,来客/绘本邀请,P2,True,time,False,MainOutView.checkFriend,,实现本地状态/规则及兼容响应
guest_takeout_bag,来客/绘本邀请,P2,True,pos,True,DrawingModel.changeItem,DrawingModel.initModel,实现本地状态/规则及兼容响应
hall_enter_game,本地会话与启动,P0,True,,True,NetworkControl.totalEvents,UserModel.initModel,实现本地状态/规则及兼容响应
hall_gen_token,本地会话与启动,P0,True,account,True,NetworkControl.totalEvents,UserModel.initModel,实现本地状态/规则及兼容响应
hall_hello,本地会话与启动,P0,True,,True,,,实现本地状态/规则及兼容响应
hall_leave_game,本地会话与启动,P0,True,,False,,,实现本地状态/规则及兼容响应
hall_login,本地会话与启动,P0,True,token,True,NetworkControl.totalEvents; NetworkControl.totalEvents; NetworkControl.totalEvents,UserModel.initModel,实现本地状态/规则及兼容响应
hall_reconnect,本地会话与启动,P0,True,"token, account",True,,UserModel.initModel,实现本地状态/规则及兼容响应
hall_report_remote_addr,本地会话与启动,P0,True,"remote_addr, local_addr",False,,,本地诊断/设置或明确停用；不复制远端运营机制
item_buy,库存/行囊/桌子/商店/抽奖,P1,True,shop_id,True,t.buyItem,ItemModel.initModel,实现本地状态/规则及兼容响应
item_gacha,库存/行囊/桌子/商店/抽奖,P1,True,is_reward,True,RaffleView.raffle; RaffleView.reward_raffle; RaffleView.nextReward,ItemModel.initModel,实现本地状态/规则及兼容响应
item_gift_open,库存/行囊/桌子/商店/抽奖,P1,False,,,,ItemModel.initModel,实现本地状态/规则及兼容响应
item_load_handbook,库存/行囊/桌子/商店/抽奖,P1,True,,True,,ItemModel.initModel,实现本地状态/规则及兼容响应
item_load_items,库存/行囊/桌子/商店/抽奖,P1,True,,True,,ItemModel.initModel,实现本地状态/规则及兼容响应
item_load_select_gift,库存/行囊/桌子/商店/抽奖,P1,True,,True,,ItemModel.initModel,实现本地状态/规则及兼容响应
item_load_shop_info,库存/行囊/桌子/商店/抽奖,P1,True,,True,,ItemModel.initModel,实现本地状态/规则及兼容响应
item_putin_bag,库存/行囊/桌子/商店/抽奖,P1,True,"pos, item_id",True,ItemModel.setBagData,,实现本地状态/规则及兼容响应
item_putin_desk,库存/行囊/桌子/商店/抽奖,P1,True,"pos, item_id",True,ItemModel.setDeskData,,实现本地状态/规则及兼容响应
item_redeem_prize,库存/行囊/桌子/商店/抽奖,P1,True,prize_id,False,RaffleView.updateGachaColorBall; PrizeSelector.selectItem,,实现本地状态/规则及兼容响应
item_select_gift,库存/行囊/桌子/商店/抽奖,P1,True,index_list,True,ItemModel.req_select_gift,,实现本地状态/规则及兼容响应
item_set_bag_completed,库存/行囊/桌子/商店/抽奖,P1,True,completed,False,ItemModel.setBagLock,,实现本地状态/规则及兼容响应
item_takeout_bag,库存/行囊/桌子/商店/抽奖,P1,True,pos,True,ItemModel.setBagData; ItemModel.setBagData,,实现本地状态/规则及兼容响应
item_takeout_desk,库存/行囊/桌子/商店/抽奖,P1,True,pos,True,ItemModel.setDeskData; ItemModel.setDeskData,,实现本地状态/规则及兼容响应
item_update,库存/行囊/桌子/商店/抽奖,P1,True,,True,,ItemModel.initModel,实现本地状态/规则及兼容响应
item_update_ticket,库存/行囊/桌子/商店/抽奖,P1,True,,True,,ItemModel.initModel,实现本地状态/规则及兼容响应
item_use_gift_code,库存/行囊/桌子/商店/抽奖,P1,True,gift_code,True,CdkeyView.totalTouchEvent,,需单机替代策略/离线停用；保留已有权益与记录
koto_arrive,koto 兼容接口（未见直接调用）,P3,True,,True,,,定义存在，未见直接发送/注册；确认版本用途后兼容
koto_dir_compass,koto 兼容接口（未见直接调用）,P3,True,dir,True,,,定义存在，未见直接发送/注册；确认版本用途后兼容
koto_get_items,koto 兼容接口（未见直接调用）,P3,True,,True,,,定义存在，未见直接发送/注册；确认版本用途后兼容
koto_info,koto 兼容接口（未见直接调用）,P3,True,,False,,,定义存在，未见直接发送/注册；确认版本用途后兼容
koto_load,koto 兼容接口（未见直接调用）,P3,True,,True,,,定义存在，未见直接发送/注册；确认版本用途后兼容
koto_load_path,koto 兼容接口（未见直接调用）,P3,True,,True,,,定义存在，未见直接发送/注册；确认版本用途后兼容
koto_random_compass,koto 兼容接口（未见直接调用）,P3,True,,True,,,定义存在，未见直接发送/注册；确认版本用途后兼容
koto_refresh,koto 兼容接口（未见直接调用）,P3,True,,True,,,定义存在，未见直接发送/注册；确认版本用途后兼容
koto_start_advance,koto 兼容接口（未见直接调用）,P3,True,id,True,,,定义存在，未见直接发送/注册；确认版本用途后兼容
lottery_confirm_reward,选取式抽奖,P2,True,,True,LotteryModel.req_confirm_reward,,实现本地状态/规则及兼容响应
lottery_load,选取式抽奖,P2,True,,True,,LotteryModel.initModel,实现本地状态/规则及兼容响应
lottery_open,选取式抽奖,P2,True,,True,LotteryModel.req_open,,实现本地状态/规则及兼容响应
lottery_select,选取式抽奖,P2,True,list,True,LotteryModel.req_select,,实现本地状态/规则及兼容响应
mail_ejoy_active_code,邮件与附件,P1,True,ticket,True,,TravelModel.initModel,需单机替代策略/离线停用；保留已有权益与记录
mail_load,邮件与附件,P1,True,,True,TravelModel.requestMail,TravelModel.initModel,实现本地状态/规则及兼容响应
mail_load_mails,邮件与附件,P1,True,"start, count, is_clear",True,TravelModel.mail_load_mails,TravelModel.initModel,实现本地状态/规则及兼容响应
mail_open,邮件与附件,P1,True,id,False,TravelModel.openMailInfo,,实现本地状态/规则及兼容响应
mail_read,邮件与附件,P1,True,id,False,TravelModel.readMailInfo,,实现本地状态/规则及兼容响应
misc_moment_load,瞬间收藏,P2,True,,True,,MomentModel.initModel,实现本地状态/规则及兼容响应
misc_moment_unlock,瞬间收藏,P2,True,id,True,MomentModel.req_unlock,,实现本地状态/规则及兼容响应
museum_load,博物馆,P2,True,,True,MuseumModel.requestMuseum,MuseumModel.initModel,实现本地状态/规则及兼容响应
museumday_arrive,博物馆主题探索,P2,True,,True,MuseumDayModel.arrive,MuseumDayModel.initModel,实现本地状态/规则及兼容响应
museumday_dir_compass,博物馆主题探索,P2,True,dir,True,MuseumDayModel.dirCompass,,实现本地状态/规则及兼容响应
museumday_get_items,博物馆主题探索,P2,True,,True,MuseumDayModel.getItems,,实现本地状态/规则及兼容响应
museumday_info,博物馆主题探索,P2,True,,False,,MuseumDayModel.initModel,实现本地状态/规则及兼容响应
museumday_inspire,博物馆主题探索,P2,True,,True,MuseumDayModel.req_inspire,,实现本地状态/规则及兼容响应
museumday_load,博物馆主题探索,P2,True,,True,MuseumDayModel.request,MuseumDayModel.initModel,实现本地状态/规则及兼容响应
museumday_load_path,博物馆主题探索,P2,True,,True,,,实现本地状态/规则及兼容响应
museumday_random_compass,博物馆主题探索,P2,True,,True,MuseumDayModel.randomCompass,,实现本地状态/规则及兼容响应
museumday_refresh,博物馆主题探索,P2,True,,True,MuseumDayModel.refresh,,实现本地状态/规则及兼容响应
museumday_start_advance,博物馆主题探索,P2,True,id,True,MuseumDayModel.request_start_advance,,实现本地状态/规则及兼容响应
notify_kick,推送/事件/系统通知,P0,False,,,,MessageModel (constructor),本地诊断/设置或明确停用；不复制远端运营机制
notify_marquee,推送/事件/系统通知,P0,False,,,,MessageModel (constructor),本地诊断/设置或明确停用；不复制远端运营机制
notify_new_event,推送/事件/系统通知,P0,False,,,,TravelModel.initModel,实现本地状态/规则及兼容响应
notify_new_mail,推送/事件/系统通知,P0,False,,,,TravelModel.initModel,实现本地状态/规则及兼容响应
notify_redmsg,推送/事件/系统通知,P0,False,,,,TravelModel.initModel,实现本地状态/规则及兼容响应
notify_reload,推送/事件/系统通知,P0,False,,,,UserModel.initModel,本地诊断/设置或明确停用；不复制远端运营机制
notify_reward,推送/事件/系统通知,P0,False,,,,MessageModel (constructor),实现本地状态/规则及兼容响应
other_load_touch,其他点击触发内容,P2,False,,,,OtherModel.initModel,实现本地状态/规则及兼容响应
other_req_touch,其他点击触发内容,P2,True,id,True,OtherModel.req_touch,,实现本地状态/规则及兼容响应
partycake_answer,庆典蛋糕,P2,True,index,True,PartyCakeModel.req_answer,,实现本地状态/规则及兼容响应
partycake_get_mate,庆典蛋糕,P2,True,,True,PartyCakeModel.req_get_mate,,实现本地状态/规则及兼容响应
partycake_light,庆典蛋糕,P2,True,,True,PartyCakeModel.req_light,,实现本地状态/规则及兼容响应
partycake_load,庆典蛋糕,P2,True,,True,PartyCakeModel.req_load,PartyCakeModel.initModel,实现本地状态/规则及兼容响应
partycake_load_mate,庆典蛋糕,P2,True,,True,,PartyCakeModel.initModel,实现本地状态/规则及兼容响应
partycake_load_qa,庆典蛋糕,P2,True,,True,PartyCakeModel.req_load_qa,PartyCakeModel.initModel,实现本地状态/规则及兼容响应
partycake_load_task,庆典蛋糕,P2,True,,True,,PartyCakeModel.initModel,实现本地状态/规则及兼容响应
partycake_make,庆典蛋糕,P2,True,layer,True,PartyCakeModel.req_make,,实现本地状态/规则及兼容响应
partycake_reward_light,庆典蛋糕,P2,True,,True,PartyCakeModel.req_reward_light,,实现本地状态/规则及兼容响应
partycake_reward_make,庆典蛋糕,P2,True,,True,PartyCakeModel.req_make_reward,,实现本地状态/规则及兼容响应
partycake_reward_qa,庆典蛋糕,P2,True,,True,PartyCakeModel.req_reward_qa,,实现本地状态/规则及兼容响应
partycake_reward_share,庆典蛋糕,P2,True,index,True,PartyCakeModel.req_reward_share,,实现本地状态/规则及兼容响应
pray_compose,祈福/手作/合成,P2,True,id,True,HandCraftModel.req_compose,,实现本地状态/规则及兼容响应
pray_confirm_make_box,祈福/手作/合成,P2,True,,False,HandCraftModel.confirm_make_box,,实现本地状态/规则及兼容响应
pray_load_grays,祈福/手作/合成,P2,True,,True,,HandCraftModel.initModel,实现本地状态/规则及兼容响应
rank_get_intro,排行榜/他人资料,P3,True,"type, duration, uid",True,RankingModel.getOtherInfo,RankingModel.initModel,需单机替代策略/离线停用；保留已有权益与记录
rank_like,排行榜/他人资料,P3,True,"type, duration, uid",False,RankingModel.setLike,,需单机替代策略/离线停用；保留已有权益与记录
rank_load,排行榜/他人资料,P3,True,"type, duration, start, count",True,RankingModel.checkRankListInfo; RankingModel.checkRankListInfo,RankingModel.initModel,需单机替代策略/离线停用；保留已有权益与记录
recharge_cancel_pay,付费权益/水与兑换,P3,True,id,False,RechargeModel.cancelPay,,需单机替代策略/离线停用；保留已有权益与记录
recharge_change,付费权益/水与兑换,P3,True,,True,RechargeModel.request_change,,实现本地状态/规则及兼容响应
recharge_load,付费权益/水与兑换,P3,True,,True,,RechargeModel.initModel,实现本地状态/规则及兼容响应
recharge_load_gift,付费权益/水与兑换,P3,True,,True,,RechargeModel.initModel,实现本地状态/规则及兼容响应
recharge_ready_pay,付费权益/水与兑换,P3,True,id,True,,,需单机替代策略/离线停用；保留已有权益与记录
recharge_update_num,付费权益/水与兑换,P3,True,,True,,RechargeModel.initModel,实现本地状态/规则及兼容响应
recharge_water,付费权益/水与兑换,P3,True,,True,RechargeModel.request_water,,实现本地状态/规则及兼容响应
share_get_reward,分享奖励,P3,True,"id, is_get",True,ShareModel.req_get_reward,,需单机替代策略/离线停用；保留已有权益与记录
share_load,分享奖励,P3,True,,True,,ShareModel.initModel,需单机替代策略/离线停用；保留已有权益与记录
springcard_buy,新春贺卡,P2,True,,True,SpringCardModel.req_buy,,实现本地状态/规则及兼容响应
springcard_change_bg,新春贺卡,P2,True,id,True,SpringCardModel.req_change_bg,,实现本地状态/规则及兼容响应
springcard_change_bless,新春贺卡,P2,True,id,True,SpringCardModel.req_change_bless,,实现本地状态/规则及兼容响应
springcard_get_reward,新春贺卡,P2,True,,True,SpringCardModel.req_get_reward,,实现本地状态/规则及兼容响应
springcard_get_share_tags,新春贺卡,P2,True,share_code,True,SpringCardModel.req_get_share_tags,,需单机替代策略/离线停用；保留已有权益与记录
springcard_get_task_item,新春贺卡,P2,True,,True,,,实现本地状态/规则及兼容响应
springcard_get_task_reward,新春贺卡,P2,True,,True,SpringCardModel.req_get_task_reward,,实现本地状态/规则及兼容响应
springcard_load,新春贺卡,P2,True,,True,SpringCardModel.req_load,SpringCardModel.initModel,实现本地状态/规则及兼容响应
